"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000168772.10","CXXC4",-3.69890864323973,-0.101749867452416,0.000216528514905041,0.00660337793537975,0.0442273570069852,0.00698384665760541,NA,23,23,23,0.0102902598988205
"ENSG00000214872.8","SMTNL1",-3.69245451178764,-0.023728145979322,0.000222100075515157,0.084363457465972,0.346851412948532,7.51384411018857e-18,NA,43,43,43,0.0104554658190626
"ENSG00000240053.8","LY6G5B",3.68308216989712,0.0612235115141224,0.000230430841216629,0.0131456880619263,0.133434329232573,9.33007966182777e-07,NA,42,42,42,0.0106609740605629
"ENSG00000151692.14","RNF144A",-3.68274215047481,-0.270024721742164,0.000230738516741642,0.000731732746730204,0.066689847647539,0.000963566716854402,NA,3,3,3,0.0106609740605629
"ENSG00000141295.13","SCRN2",3.67937156854236,0.0385772225273877,0.000233809400764321,0.0432494494279972,0.240529782009934,1.55115194041001e-11,NA,64,64,64,0.0107037514661831
"ENSG00000124380.10","SNRNP27",-3.67642530693478,-0.0532810041697553,0.000236525066454346,0.0174378403429695,0.13039084780073,8.69484024622866e-07,NA,31,31,31,0.0107296371055199
"ENSG00000164989.16","CCDC171",-3.66366643932398,-0.028585368215433,0.000248630527472689,0.0520755594601081,0.348474031476885,9.23656159157421e-18,NA,34,34,34,0.0111771741629614
"ENSG00000117601.13","SERPINC1",-3.65728426065084,-0.039395720968097,0.000254901645167941,0.0296762162938548,0.11907658341202,4.33346504535288e-06,NA,39,40,40,0.0112382900832428
"ENSG00000189007.15","ADAT2",3.65598519872461,0.0713940789693718,0.000256196137286529,0.00926528741122003,0.02692863759612,0.0371300047541675,NA,24,24,24,0.0112382900832428
"ENSG00000163320.10","CGGBP1",3.65335547228931,0.14455949589424,0.000258835505775938,0.00221074767622797,0.0657525132292641,0.000870568350087898,NA,3,3,3,0.0112382900832428
"ENSG00000111275.12","ALDH2",3.65319373128069,0.178577602229844,0.000258998669253091,0.00135869984108916,0.0651340180959002,0.000967693417434688,NA,9,9,9,0.0112382900832428
"ENSG00000233878.1","AC073133.1",-3.63708977476301,-0.0382235621740725,0.000275735847377536,0.0363763199445092,0.0940045887488458,3.49059080458883e-05,NA,30,30,30,0.0118613955035681
"ENSG00000140937.13","CDH11",3.63152139284069,0.0583430103324339,0.000281755296056019,0.0143957050782596,0.0652281593948437,0.000895240459146376,NA,45,45,45,0.0119548397488145
"ENSG00000073008.14","PVR",-3.62995117088027,-0.104462642065551,0.000283474840141459,0.00428234693672644,0.0272056570667853,0.0344830011041815,NA,22,22,22,0.0119548397488145
"ENSG00000034677.12","RNF19A",-3.62754365190833,-0.127325434382065,0.000286130411206811,0.00228062431188318,0.0693493815044128,0.00057462545526527,NA,30,30,30,0.0119548397488145
"ENSG00000154217.14","PITPNC1",3.62631812996413,0.0675587234337224,0.000287491136244035,0.0111244505779825,0.0253622395012116,0.0353277891103261,NA,62,63,63,0.0119548397488145
"ENSG00000101019.21","UQCC1",-3.61850742872773,-0.11016860898608,0.000296306995733931,0.00467402311825846,0.0955446741698206,6.33567952414475e-05,NA,23,23,23,0.0122196025513415
"ENSG00000197563.10","PIGN",-3.61228282769196,-0.0370730233189076,0.000303513268014864,0.0423863884724872,0.261800778168864,4.26745825103114e-13,NA,40,40,40,0.0124106254271839
"ENSG00000162753.11","SLC9C2",-3.61024051104913,-0.0610570125557246,0.000305913211932589,0.0117429583663334,0.140232517818755,7.5470055683704e-07,NA,3,3,3,0.0124106254271839
"ENSG00000181220.15","ZNF746",-3.58799145261935,-0.0615460532372799,0.000333235211603789,0.0121296415387841,0.0617268589383287,0.0014722290561859,NA,24,24,24,0.0134100298863138
