"gene","gene_name","zscore","effect_size","pvalue","var_g","pred_perf_r2","pred_perf_pval","pred_perf_qval","n_snps_used","n_snps_in_cov","n_snps_in_model","fdr"
"ENSG00000185294.6","SPPL2C",3.55140708557961,0.0816553365144542,0.000383177256950013,0.00786122415434314,0.0655419793566505,0.00134746149829841,NA,18,18,18,0.0154084730582377
"ENSG00000155093.17","PTPRN2",3.54456081984817,0.0809163568305904,0.000393267761601986,0.0069777922293474,0.246426510581022,3.55544619337086e-11,NA,11,11,11,0.0154336679079885
"ENSG00000145050.15","MANF",-3.5430808511824,-0.0903418111055691,0.000395481433966598,0.00571898554729653,0.0470723094963567,0.00867853632847735,NA,61,61,61,0.0154336679079885
"ENSG00000144485.10","HES6",-3.54097429240974,-0.0514720073607909,0.000398652418456036,0.0166774600191923,0.163411129877973,2.5784647034807e-07,NA,19,19,19,0.0154336679079885
"ENSG00000007341.18","ST7L",3.54008031293713,0.0354415624987379,0.000400005284117156,0.034456630507133,0.206231897846803,2.06312245130397e-09,NA,9,9,9,0.0154336679079885
"ENSG00000184232.8","OAF",-3.53956551894983,-0.110896714005042,0.000400786270497941,0.00394833707005098,0.0786675474666337,0.000566420688429583,NA,11,11,11,0.0154336679079885
"ENSG00000260838.3","RP11-531A24.3",-3.53259281939609,-0.0927937138822952,0.0004115057408317,0.00536950666678478,0.116297495470949,1.79739646566275e-05,NA,9,9,9,0.0157132948431869
"ENSG00000269473.1","CTD-2619J13.19",-3.52389730458101,-0.061553249904235,0.00042524903131229,0.011342577527898,0.0625181140794788,0.00203450261234962,NA,12,12,12,0.0161027633190254
"ENSG00000156687.10","UNC5D",-3.52163899853278,-0.166788961384157,0.000428887757318751,0.0019710811420572,0.062231189170793,0.00226495334569074,NA,33,33,33,0.0161063303244331
"ENSG00000261052.5","SULT1A3",3.50840467947791,0.060006542696164,0.000450802748099113,0.014363618627958,0.0690993600800306,0.00124516422463144,NA,14,14,14,0.0167905548144457
"ENSG00000254685.6","FPGT",3.50216402907148,0.155683037019065,0.000461495407285726,0.0020009478866707,0.0319379945454412,0.0217616471387136,NA,8,8,8,0.016950731708151
"ENSG00000132471.11","WBP2",3.49926273164974,0.0869744276693841,0.000466546622303014,0.00549173216356376,0.0470731633687658,0.00772886908902418,NA,20,20,20,0.016950731708151
"ENSG00000164823.9","OSGIN2",-3.4972606397151,-0.0356519417734884,0.000470062330535945,0.0364004490462283,0.0939372586247626,0.000148320942726429,NA,40,40,40,0.016950731708151
"ENSG00000205143.2","ARID3C",3.49568984524768,0.0202693558299105,0.000472837958573205,0.120351042369896,0.440828023628085,1.13458298646821e-22,NA,33,33,33,0.016950731708151
"ENSG00000162620.15","LRRIQ3",3.49517273390971,0.0242634224703277,0.000473755045540313,0.0845551865705572,0.247970601506481,2.03740500693532e-11,NA,39,40,40,0.016950731708151
"ENSG00000102904.14","TSNAXIP1",-3.4925537146609,-0.0622972787996726,0.000478425362447156,0.0130896741422378,0.212223487401774,1.78066944938834e-09,NA,13,14,14,0.016984100366874
"ENSG00000196670.13","ZFP62",-3.47223587944945,-0.0456250347072566,0.000516142615413163,0.0215934169066689,0.125635841497904,8.72252025367481e-06,NA,57,57,57,0.01818102360029
"ENSG00000244731.7","C4A",-3.47011340940114,-0.0290822752852185,0.000520238652007322,0.0425743868799413,0.270050354182781,3.83075589526767e-12,NA,30,30,30,0.0181843418055482
"ENSG00000116489.12","CAPZA1",3.46570083074924,0.0685556860508192,0.000528851389592207,0.00882797405331127,0.0786393202737411,0.000477881056479301,NA,28,28,28,0.0183442802618854
"ENSG00000160200.17","CBS",-3.44212290244488,-0.0149468260765509,0.000577167956951825,0.176205261071176,0.408727597852661,5.79513595391136e-20,NA,71,72,72,0.0198685696696143
"ENSG00000198937.8","CCDC167",3.43897921242802,0.0253871166044235,0.000583912069263485,0.0671160108138908,0.235499561676496,1.22666855252397e-10,NA,88,89,89,0.0199092119107034
"ENSG00000128891.15","C15orf57",3.43749966636674,0.0262425104018866,0.000587111442789228,0.0684993045561085,0.351854448514206,1.4496045594016e-16,NA,25,25,25,0.0199092119107034
