gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000259905.5,PWRN1,-0.713071230694966,-0.00823615213903493,0.475801680820251,0.0366236465794532,0.0594231232123269,0.00257102704991661,,56,65,65
ENSG00000181061.13,HIGD1A,-0.712957957156858,-0.00523354234253748,0.475871773567537,0.0947960176088032,0.410412947651382,2.99423335518513e-21,,132,133,133
ENSG00000124762.13,CDKN1A,-0.712840206976074,-0.0192752415221268,0.475944642425892,0.00544440979006063,0.130399029500253,4.64032452714045e-06,,25,25,25
ENSG00000182774.10,RPS17,-0.712729084725399,-0.0128362808605662,0.476013415246949,0.00645102137556637,0.0913348431086082,0.000210810551729424,,22,22,22
ENSG00000215114.8,UBXN2B,-0.712709746261649,-0.0161464519548514,0.476025384249868,0.00721556488641315,0.131228584674311,1.80272421834259e-06,,35,37,37
ENSG00000258839.3,MC1R,-0.712489186325009,-0.00835383472143722,0.476161905342318,0.0228631802084705,0.0796739264484852,0.000329703437283163,,36,36,36
ENSG00000203883.6,SOX18,0.712117885507518,0.0334952916763829,0.476391779735642,0.00151525686745072,0.034208563090899,0.020602836567452,,4,4,4
ENSG00000215187.10,FAM166B,0.712083176738867,0.0110522256417252,0.476413271233706,0.0200403492172427,0.0520076801899216,0.00401688195047843,,13,13,13
ENSG00000204963.5,PCDHA7,-0.711380373667641,-0.00729534003366511,0.476848557676504,0.0285518669617971,0.0407400000548447,0.0143756657239023,,40,40,40
ENSG00000160310.17,PRMT2,-0.711207972956637,-0.0146693123462244,0.476955368624289,0.00834022102359381,0.0387999085631344,0.0112336187570541,,16,16,16
ENSG00000118298.10,CA14,0.710870854608348,0.00663673354850258,0.477164268311576,0.00460439011023222,0.0315258951621713,0.0327656220768977,,10,11,11
ENSG00000176834.13,VSIG10,-0.710816243676114,-0.0339252217662178,0.477198113385372,0.00146731752907953,0.0275952616063371,0.043004914361057,,5,5,5
ENSG00000186204.14,CYP4F12,0.710251572413174,0.00461730315714511,0.477548144885166,0.0446089409300192,0.155913069501036,3.33330010193076e-07,,64,68,68
ENSG00000043514.15,TRIT1,-0.710174001667928,-0.00806091983614711,0.477596240831976,0.0276345416930827,0.189850562012916,1.25214802056618e-08,,33,36,36
ENSG00000168754.14,FAM178B,0.709790488724514,0.0202644605378162,0.477834068094171,0.00591505422941839,0.0590005392113497,0.00313107003711391,,16,17,17
ENSG00000205669.2,ACOT6,-0.709524777780309,-0.0106769617326488,0.477998880964269,0.0168989699145155,0.130086006247922,1.15052675917501e-06,,9,9,9
ENSG00000054219.10,LY75,0.708933569113636,0.00949414604628327,0.478365702209385,0.0194271099537881,0.233111409262462,1.63702289492065e-10,,38,40,40
ENSG00000243795.1,LINC02044,0.708851761982082,0.00530704020405074,0.478416472363484,0.0473039397372441,0.0626772268131047,0.00205499247963749,,56,56,56
ENSG00000100302.6,RASD2,0.708748386223506,0.00982429669041757,0.478480632389307,0.0217169728929391,0.166188766420689,8.86203613702733e-08,,43,44,44
ENSG00000188004.9,C1orf204,0.707889583124713,0.00530942676434805,0.479013829097337,0.0753073842664318,0.355303403431138,2.15123971463863e-16,,43,43,43
ENSG00000188778.5,ADRB3,-0.707665216430482,-0.00492874278113485,0.479153182889069,0.0664979024728627,0.0570090149612773,0.00346095965880262,,74,75,75
ENSG00000183570.16,PCBP3,0.707655117984592,0.00474692652739304,0.479159455537928,0.050584279854255,0.155296795406409,3.45846432541042e-07,,55,55,55
ENSG00000058085.14,LAMC2,-0.707300672762681,-0.00384359883231942,0.479379647554975,0.0770261025427067,0.149072820245781,7.00928576465608e-07,,34,35,35
ENSG00000090487.10,SPG21,-0.707258329824636,-0.00833982831200993,0.479405955951713,0.0337921283981848,0.131590636737914,3.44237905683647e-06,,42,42,42
ENSG00000164733.20,CTSB,-0.707257691701735,-0.0141266912119948,0.479406352434489,0.00691656170018478,0.053297819981323,0.00454249070221246,,17,17,17
ENSG00000048544.5,MRPS10,-0.70634556198925,-0.0208550314413066,0.47997326584035,0.00425431263305883,0.103909981640477,4.8949477914447e-05,,15,15,15
ENSG00000119673.14,ACOT2,0.706290411871254,0.00455266228513316,0.480007554853386,0.087683533922497,0.4527739565406,7.47621193055082e-23,,59,62,62
ENSG00000169220.17,RGS14,-0.70628641469121,-0.0164833070126399,0.480010040110472,0.00829816116051102,0.168609932681885,9.60525597946767e-08,,4,4,4
ENSG00000089723.9,OTUB2,0.706082074817065,0.0224594221556385,0.480137098305487,0.00312917935520108,0.044253383527051,0.00942091369093479,,29,30,30
ENSG00000120915.13,EPHX2,-0.705028496029477,-0.0104896549439255,0.480792502745462,0.0168695810318213,0.248965074713756,3.96106692142836e-11,,29,29,29
